Date & Time,Humidity,Temperature,Fahrenheit,No of Occupant
[2022-11-18 08:57:28.349] ,52,20.5,68.9,0
[2022-11-18 08:57:29.471] ,52,20.5,68.9,0
[2022-11-18 08:57:30.361] ,52,20.5,68.9,0
[2022-11-18 08:57:31.364] ,52,20.5,68.9,0
[2022-11-18 08:57:32.371] ,52,20.5,68.9,0
[2022-11-18 08:57:33.375] ,52,20.5,68.9,0
[2022-11-18 08:57:34.380] ,52,20.5,68.9,0
[2022-11-18 08:57:35.382] ,52,20.5,68.9,0
[2022-11-18 08:57:36.391] ,52,20.5,68.9,0
[2022-11-18 08:57:37.392] ,52,20.5,68.9,0
[2022-11-18 08:57:38.401] ,52,20.5,68.9,0
[2022-11-18 08:57:39.404] ,52,20.5,68.9,0
[2022-11-18 08:57:40.412] ,51.9,20.5,68.9,0
[2022-11-18 08:57:41.415] ,51.9,20.5,68.9,0
[2022-11-18 08:57:42.422] ,52,20.5,68.9,0
[2022-11-18 08:57:43.426] ,52,20.5,68.9,0
[2022-11-18 08:57:44.433] ,52,20.5,68.9,0
[2022-11-18 08:57:45.434] ,52,20.5,68.9,0
[2022-11-18 08:57:46.445] ,52,20.5,68.9,0
[2022-11-18 08:57:47.444] ,52,20.5,68.9,0
[2022-11-18 08:57:48.456] ,52,20.5,68.9,0
[2022-11-18 08:57:49.452] ,52,20.5,68.9,0
[2022-11-18 08:57:50.461] ,52,20.5,68.9,0
[2022-11-18 08:57:51.466] ,52,20.5,68.9,0
[2022-11-18 08:57:52.473] ,52.1,20.5,68.9,0
[2022-11-18 08:57:53.477] ,52.1,20.5,68.9,0
[2022-11-18 08:57:54.484] ,52.1,20.5,68.9,0
[2022-11-18 08:57:55.486] ,52.1,20.5,68.9,0
[2022-11-18 08:57:56.495] ,52.1,20.5,68.9,0
[2022-11-18 08:57:57.499] ,52.1,20.5,68.9,0
[2022-11-18 08:57:58.507] ,52.1,20.5,68.9,0
[2022-11-18 08:57:59.505] ,52.1,20.5,68.9,0
[2022-11-18 08:58:00.517] ,52.1,20.5,68.9,0
[2022-11-18 08:58:01.517] ,52.1,20.5,68.9,0
[2022-11-18 08:58:02.525] ,52.1,20.5,68.9,0
[2022-11-18 08:58:03.528] ,52.1,20.5,68.9,0
[2022-11-18 08:58:04.533] ,52,20.5,68.9,0
[2022-11-18 08:58:05.539] ,52,20.5,68.9,0
[2022-11-18 08:58:06.547] ,52,20.5,68.9,0
[2022-11-18 08:58:07.549] ,52,20.5,68.9,0
[2022-11-18 08:58:08.556] ,52,20.5,68.9,0
[2022-11-18 08:58:09.561] ,52,20.5,68.9,0
[2022-11-18 08:58:10.569] ,52,20.5,68.9,0
[2022-11-18 08:58:11.572] ,52,20.5,68.9,0
[2022-11-18 08:58:12.579] ,52,20.5,68.9,0
[2022-11-18 08:58:13.576] ,52,20.5,68.9,0
[2022-11-18 08:58:14.590] ,52,20.5,68.9,0
[2022-11-18 08:58:15.589] ,52,20.5,68.9,0
[2022-11-18 08:58:16.595] ,52,20.6,69.08,0
[2022-11-18 08:58:17.601] ,52,20.6,69.08,0
[2022-11-18 08:58:18.608] ,51.9,20.6,69.08,0
[2022-11-18 08:58:19.612] ,51.9,20.6,69.08,0
[2022-11-18 08:58:20.620] ,51.9,20.6,69.08,0
[2022-11-18 08:58:21.622] ,51.9,20.6,69.08,0
[2022-11-18 08:58:22.630] ,51.9,20.6,69.08,0
[2022-11-18 08:58:23.631] ,51.9,20.6,69.08,0
[2022-11-18 08:58:24.641] ,52,20.6,69.08,0
[2022-11-18 08:58:25.641] ,52,20.6,69.08,0
[2022-11-18 08:58:26.649] ,52,20.6,69.08,0
[2022-11-18 08:58:27.652] ,52,20.6,69.08,0
[2022-11-18 08:58:28.659] ,52,20.6,69.08,0
[2022-11-18 08:58:29.663] ,52,20.6,69.08,0
[2022-11-18 08:58:30.669] ,52,20.5,68.9,0
[2022-11-18 08:58:31.674] ,52,20.5,68.9,0
[2022-11-18 08:58:32.681] ,52,20.6,69.08,0
[2022-11-18 08:58:33.681] ,52,20.6,69.08,0
[2022-11-18 08:58:34.692] ,52,20.6,69.08,0
[2022-11-18 08:58:35.696] ,52,20.6,69.08,0
[2022-11-18 08:58:36.701] ,52,20.6,69.08,0
[2022-11-18 08:58:37.702] ,52,20.6,69.08,0
[2022-11-18 08:58:38.714] ,52,20.6,69.08,0
[2022-11-18 08:58:39.714] ,52,20.6,69.08,0
[2022-11-18 08:58:40.721] ,52,20.6,69.08,0
[2022-11-18 08:58:41.724] ,52,20.6,69.08,0
[2022-11-18 08:58:42.730] ,52,20.6,69.08,0
[2022-11-18 08:58:43.734] ,52,20.6,69.08,0
[2022-11-18 08:58:44.740] ,52,20.6,69.08,0
[2022-11-18 08:58:45.746] ,52,20.6,69.08,0
[2022-11-18 08:58:46.754] ,51.9,20.6,69.08,0
[2022-11-18 08:58:47.755] ,51.9,20.6,69.08,0
[2022-11-18 08:58:48.765] ,51.9,20.6,69.08,0
[2022-11-18 08:58:49.765] ,51.9,20.6,69.08,0
[2022-11-18 08:58:50.776] ,51.8,20.6,69.08,0
[2022-11-18 08:58:51.773] ,51.8,20.6,69.08,0
[2022-11-18 08:58:52.781] ,51.8,20.6,69.08,0
